Author_id,ISBN13
9840,9780195153445
12681,9780195153445
9840,9780195153446
12681,9780195153446
12342,9780002005012
1895,9780060973124
5164,9780374157067
4185,9780393045215
3831,9780393045215
503,9780399135781
12611,9780425176429
13389,9780671870430
13725,9780671870430
3041,9780679425601
665,9780743226783
3003,9780771074677
8340,9780806521213
13495,9780887841743
6069,9781552041772
6088,9781558746213
9857,9781558746213
6820,9781558746213
9144,9781567407785
7346,9781567407785
12670,9781575663937
7845,9781881320180
7317,9780440234746
14756,9780452264465
14464,9780609804612
13373,9780609804612
10627,9780609804612
2138,9781841721521
6474,9781841721521
11917,9781841721521
6070,9781879384491
10106,9780061076039
1021,9780061076039
12862,9780439095020
8144,9780689821165
7967,9780689821165
1431,9780689821165
12310,9780971880108
10362,9780345402875
10362,9780345417626
2737,9780684823805
994,9780375759772
13861,9780425163092
10770,9783404921034
10490,9783404921034
618,9783404921034
4055,9783442353866
2873,9783442353866
2273,9783442410668
12427,9783442446933
8486,9783442446933
9847,9780375406324
5508,9780446310789
8626,9780449005613
1130,9780060168018
7022,9780380782437
6434,9780553212150
3530,9780671765378
803,9780061099687
3246,9780553582901
10025,9780671888589
3246,9780553582741
11380,9780425182901
6610,9780425186305
9411,9780440223573
8630,9780812523874
14628,9780842342704
6862,9780842342704
7317,9780440225706
1314,9780060914066
12752,9780156047623
5458,9780245542954
9815,9780380715893
11184,9780553280333
6238,9780553280333
13783,9780553280333
2494,9780961769949
3105,9780964778313
8595,9780671623241
14223,9780679810308
14223,9780679865698
10560,9782070423200
1879,9780345260314
238,9780394743745
809,9780425117743
503,9780804106306
7607,9781853262401
3333,9780312970246
9925,9780312970246
14528,9781853260056
2223,9781414035000
13539,9781414035000
14910,9780060938413
1271,9780140067477
8626,9780345465085
11018,9780451625885
5392,9781558531024
12560,9780441783588
11908,9780394895895
10486,9780375410536
13264,9780966986105
11269,9780871133755
10621,9780340767931
13775,9780743403849
13326,9780060930363
2851,9780060177584
3586,9780071416337
3594,9780071416337
3069,9780375509032
9195,9780553062045
6611,9780316769488
7203,9780679429227
10025,9780671867157
6796,9780312252618
6455,9780312261597
10505,9780316748643
13642,9780316973748
15281,9780385235945
12787,9780446677455
13465,9780446677455
8287,9780451166890
7280,9780553347593
12641,9780671621001
9192,9780679763970
11298,9780684822730
414,9780684822730
